pdb_id,binding_affinity_pK
2tpi,4.309803919971486
5tln,6.366531544420414
4tln,3.721246399047171
6rsa,4.3979400086720375
1rnt,5.187086643357144
6cha,4.3979400086720375
4ts1,4.935542010773082
4tmn,10.167491087293763
2tmn,5.886056647693163
1tlp,7.552841968657781
1tmn,7.301029995663981
5tmn,8.040958607678906
4fab,8.05551732784983
1p01,9.455931955649724
3at1,3.1804560644581312
1p05,5.958607314841775
1p10,6.698970004336019
6gch,4.698970004336019
7gch,5.698970004336019
1p04,7.3979400086720375
1p06,6.267606240177032
1p03,8.193820026016112
1p02,7.173925197299173
8abp,8.0
1rbp,6.721246399047171
7abp,6.455931955649724
6abp,6.356547323513813
1fkf,9.397940008672037
9icd,3.9030899869919438
6apr,7.769551078621726
4er1,6.616184634019569
5er2,6.568636235841013
4er2,9.301029995663981
2ypi,4.823908740944319
4er4,6.795880017344075
5apr,7.769551078621726
3er5,9.0
4apr,6.698970004336019
5hvp,7.698970004336019
6cpa,11.522878745280337
2er9,7.3979400086720375
2er0,6.376750709602099
4sga,7.301029995663981
2er6,7.221848749616356
3er3,7.0915149811213505
5er1,6.017728766960431
9abp,8.0
1bap,6.853871964321762
5abp,6.638272163982407
8gpb,3.6020599913279625
1apb,5.82102305270683
7gpb,5.522878745280337
5est,6.522878745280337
6tim,3.214670164989233
6gpb,4.853871964321762
9hvp,8.346787486224656
4tim,2.161150909262745
4est,5.022276394711152
2mip,8.455931955649724
4phv,9.173925197299173
1rne,8.698970004336019
1ind,10.045757490560675
1igj,10.0
1fkb,9.698970004336019
1gca,6.698970004336019
1l83,3.3979400086720375
1rin,3.154901959985743
1dmb,5.7447274948966935
1atr,6.958607314841775
1dbb,9.0
1pop,9.0
1gpy,4.698970004336019
1abf,5.42021640338319
1rgl,4.431798275933005
6rnt,2.3665315444204134
1rgk,4.308918507877031
3gst,6.721246399047171
1cps,6.657577319177793
7hvp,9.619788758288394
2gst,6.070581074285707
2lpr,8.886056647693163
3lpr,5.958607314841775
1ppm,5.795880017344075
1hos,8.55284196865778
1ppl,8.55284196865778
9lpr,5.698970004336019
8lpr,6.619788758288394
5lpr,6.568636235841013
1bcd,8.698970004336019
1ivp,7.522878745280337
1trd,5.3979400086720375
6lpr,7.301029995663981
7lpr,7.180456064458132
1mns,4.173925197299174
1ths,7.5376020021010435
1htf,6.8297382846050425
2hmb,5.585026652029182
1him,7.698970004336019
1dbj,7.6777807052660805
1hte,5.644931793651149
2dbl,8.698970004336019
1htg,8.42021640338319
1thr,5.376750709602099
1acj,8.086186147616283
1dbk,8.096910013008056
1hsl,7.1938200260161125
2drc,9.886056647693163
1sre,3.853871964321762
1sri,6.080921907623926
1tka,6.096910013008056
1abt,5.853871964321762
1lst,7.853871964321762
1tkc,4.853871964321762
1ctr,6.0
1hgi,2.6777807052660805
1hgj,1.6575773191777938
1dhj,6.55129368009492
1tys,5.485452247339714
1sps,8.522878745280337
1pyg,5.522878745280337
1adl,5.356547323513812
1mfd,5.309803919971486
1hge,2.2676062401770314
2cgr,7.275724130399211
1dhi,7.259637310505756
1srg,5.301029995663981
1erb,8.096910013008056
1mfa,5.040958607678906
1tni,4.0
2ctc,3.886056647693163
1add,6.7447274948966935
1tmb,6.7447274948966935
1elc,6.657577319177793
1wht,3.6989700043360187
1tsi,3.4814860601221125
1cil,9.431798275933005
2sim,3.42021640338319
1thl,6.42021640338319
1tnh,3.3665315444204134
1ela,6.356547323513813
1cbx,6.346787486224656
1inc,9.337242168318426
1ppc,6.161150909262744
1hps,9.221848749616356
1fig,6.221848749616356
1tet,6.080921907623926
1azm,6.096910013008056
1rpa,6.0
1tng,2.9318141382538383
1pph,5.920818753952375
1ett,5.886056647693163
1cim,8.818156412055227
1csi,8.795880017344075
1cin,8.72584215073632
1fki,7.0
1rpf,3.987162775294828
1gbt,2.0
1apw,8.0
1fkg,8.0
1tkb,8.0
1nnb,5.0
1tnj,1.958607314841775
1ent,6.958607314841775
1hvl,9.950781977329818
1epo,7.958607314841775
1hvk,10.958607314841775
1hvi,10.920818753952375
1tnl,1.8761483590329142
1bra,1.8239087409443189
1hgt,6.823908740944319
1els,10.823908740944319
1eed,4.790484985457369
1heg,7.7447274948966935
1sbg,7.7447274948966935
1apv,9.0
1hef,9.0
1agm,12.0
1ppk,7.657577319177793
1csh,7.552841968657781
1iht,8.455931955649724
1lyb,11.42021640338319
1tnk,1.4881166390211256
1dwc,7.4089353929735005
2cht,5.522878745280337
1aaq,8.397940008672037
1hvj,11.397940008672037
1epq,8.187086643357144
1dwd,8.18045606445813
1epp,7.161150909262744
1ets,8.221848749616356
1elb,7.154901959985743
8cpa,9.148741651280925
1fkh,8.154901959985743
1siv,8.075720713938118
1ida,8.698970004336019
1mnc,10.337242168318426
1fta,6.356547323513813
1shd,6.173925197299173
1tps,8.0
1idb,7.958607314841775
1hrn,8.045757490560675
1drj,7.3979400086720375
2dri,6.886056647693163
1drk,6.823908740944319
1flr,10.0
1tyr,7.0
1hmr,6.552841968657781
1hms,6.366531544420414
1cbr,9.397940008672037
1hmt,5.785156151952302
1cka,5.721246399047171
1utr,8.0
1ahx,3.9208187539523753
1cny,7.853871964321762
1laf,7.853871964321762
186l,4.853871964321762
1cnw,7.721246399047171
184l,4.721246399047171
1lcj,9.0
1yda,6.552841968657781
185l,3.537602002101044
1pgp,5.698970004336019
1lah,7.522878745280337
187l,3.374687549038326
1cnx,7.366531544420414
1ahy,3.3565473235138126
188l,3.3279021420642825
1ckb,5.2839966563652006
1ydb,8.236572006437063
1lag,6.301029995663981
1prl,4.229147988357856
1prm,4.229147988357856
1rlp,5.096910013008056
1rlq,5.096910013008056
1ydd,7.0655015487564325
2gyi,7.0
1cgl,6.8696662315049934
1ele,6.853871964321762
2ada,13.0
1fpc,7.0
1eld,6.698970004336019
1lcp,6.638272163982407
2srt,6.638272163982407
1pdz,3.6989700043360187
1tyn,9.698970004336019
1hvr,9.508638306165727
1atl,6.2839966563652006
1tpw,3.3010299956639813
1hpv,9.221848749616356
1css,6.096910013008056
1ctu,11.920818753952375
1gar,10.0
1eat,7.823908740944319
1ebg,10.823908740944319
1hdt,7.764471553092451
1bty,4.735182176990463
1eas,7.7447274948966935
1ibg,8.55284196865778
1fiv,6.585026652029182
1bma,4.585026652029182
1ctt,4.522878745280337
1csr,7.376750709602099
1hbv,6.366531544420414
1std,10.327902142064282
1qca,5.267606240177032
1hvs,10.301029995663981
1hii,7.275724130399211
1lan,7.221848749616356
1hti,5.130768280269024
1ppi,5.013228265733755
1hih,8.045757490560675
1vrt,7.096910013008056
1vru,7.0
1rth,6.3979400086720375
1bil,9.301029995663981
1pig,9.154901959985743
1bim,8.920818753952375
1fpi,5.886056647693163
1inf,5.0
1cwc,7.795880017344075
1rti,4.769551078621726
1gym,2.6989700043360187
1cpi,7.4089353929735005
1mik,6.346787486224656
1inh,2.3010299956639813
1qwf,6.346787486224656
1nja,6.309803919971486
1qwe,5.920818753952375
1njb,5.795880017344075
1gaf,8.0
1sts,5.0
1tsy,4.958607314841775
1cea,4.958607314841775
1dar,4.958607314841775
1slg,3.9030899869919438
1lkk,6.853871964321762
1lkl,5.812479279163537
1tsv,4.795880017344075
1nje,3.7958800173440754
1str,4.769551078621726
1ceb,6.0
1njd,5.568636235841013
1njc,5.552841968657781
1mai,6.6777807052660805
1zsb,0.6020599913279624
1sld,6.568636235841013
2olb,5.5376020021010435
1pot,5.494850021680094
1btn,4.3979400086720375
1det,4.301029995663981
1kel,7.2839966563652006
1sle,6.173925197299173
1swi,3.0969100130080562
1mmq,7.522878745280337
2upj,7.3872161432802645
1lhc,10.397940008672037
2csm,4.301029995663981
1grp,3.7235381958267557
1fmb,10.0
1sln,6.638272163982407
1lhd,9.619788758288394
1lhe,9.537602002101044
1hsg,9.42021640338319
1hsh,9.42021640338319
1igb,6.3979400086720375
1jrs,6.3979400086720375
1aht,6.2076083105017466
1mmp,6.070581074285707
1pbk,9.045757490560675
1jao,5.920818753952375
1gai,8.0
1tcx,6.950781977329818
1cwb,7.886056647693163
1rdn,1.8416375079047502
1dud,4.823908740944319
1gah,12.0
1gno,7.698970004336019
1rdj,1.6635402661514704
1gnn,5.6777807052660805
1dif,10.657577319177793
1bmn,8.443697499232712
1rev,7.481486060122112
1jaq,4.481486060122113
2csn,4.4089353929735005
1mmr,5.3979400086720375
1mtr,8.397940008672037
1hpx,11.259637310505756
1rdl,2.2441251443275085
1gnm,6.251811972993799
1pro,11.301029995663981
1noi,3.154901959985743
1noj,3.154901959985743
1nok,3.154901959985743
1bmm,7.102372908709558
1lhg,7.102372908709558
1lhf,8.09151498112135
1rdi,2.0555173278498313
1mdl,3.0915149811213505
1rnm,3.0735546521816106
1tcw,6.017728766960431
1fkw,5.045757490560675
1kvo,7.886056647693163
1tze,6.8297382846050425
1lt6,3.3010299956639813
1jlx,5.795880017344075
1bkm,5.7447274948966935
2rox,4.978810700930062
1jld,6.732828271596986
1lt5,2.6989700043360187
1tvr,7.481486060122112
1uwb,8.337242168318426
1dth,8.221848749616356
1rt2,8.221848749616356
1aq1,8.154901959985743
1rt1,8.096910013008056
1lfo,8.045757490560675
1avn,3.9030899869919438
1rbo,12.721246399047171
1drv,6.537602002101044
1aqj,6.468521082957745
1bxl,6.468521082957745
1okl,6.031517051446065
1ao0,4.958607314841775
1nlp,4.958607314841775
1avp,7.920818753952375
1jev,6.886056647693163
1aj7,3.869666231504994
1jeu,6.823908740944319
1ag9,9.0
1ado,6.0
2adm,5.698970004336019
1aqi,5.619788758288394
2h4n,8.698970004336019
1nlo,5.468521082957745
1gbq,2.4559319556497243
3gbq,5.455931955649724
2mas,7.522878745280337
1rst,4.431798275933005
1aqc,5.341035157335565
1shc,7.275724130399211
1jet,7.251811972993799
2hrp,8.301029995663981
2aac,2.221848749616356
1irs,5.221848749616356
1mpa,8.040958607678906
1nox,7.045757490560675
1uvt,7.638272163982407
1qbt,10.619788758288394
1qbr,10.568636235841012
1ajq,4.309803919971486
1qbu,10.236572006437063
1ai7,4.086186147616283
1ai6,3.9706162223147903
4vgc,6.896196279044043
1hxb,9.920818753952375
1sqc,6.853871964321762
3mbp,6.795880017344075
1ai5,3.7235381958267557
1ad8,6.6020599913279625
1dmp,9.55284196865778
1qbs,9.468521082957745
1pau,9.455931955649724
2kce,6.173925197299173
1hpo,9.221848749616356
1af2,3.0969100130080562
1vgc,5.920818753952375
1yds,5.920818753952375
3gss,5.823908740944319
